scholarship_id,university_id,university_name,scholarship_name,scholarship_type,award_amount_aud,award_type,course_level,eligible_course_types,eligibility_criteria,min_gpa,min_ielts,key_requirements,application_deadline,contact_url,open_intake,notes
1001,1,University of Melbourne,Melbourne Chancellor's Scholarship,Merit-based,15000,Tuition waiver,Undergraduate,All,High academic performance,3.8,7.0,Academic excellence,November 30,scholarships.unimelb.edu.au,Feb/July/Nov,Competitive award for high achievers
1002,1,University of Melbourne,Hansen Scholarship,Need-based,12000,Living allowance,All,All,Disadvantaged background,3.0,6.5,Financial need,December 15,scholarships.unimelb.edu.au,Feb/July/Nov,Supports students from low-income families
1003,1,University of Melbourne,Engineering Research Scholarship,Research-based,20000,Tuition waiver,Postgraduate,Engineering|Science,Bachelor in relevant field,3.5,7.0,Research capability,January 31,scholarships.unimelb.edu.au,Feb,For research-focused postgrads
1004,1,University of Melbourne,International Excellence Scholarship,Merit-based,8000,Tuition reduction,Undergraduate,All,Academic merit + international student,3.7,6.5,Outstanding academic record,December 15,scholarships.unimelb.edu.au,Feb/July/Nov,15-30% tuition waiver
1005,1,University of Melbourne,Faculty of Engineering Scholarship,Discipline-specific,10000,Tuition waiver,All,Engineering,Engineering background,3.6,7.0,Passion for engineering,January 31,scholarships.unimelb.edu.au,Feb/July/Nov,Supports engineering excellence
2001,2,UNSW Sydney,UNSW Global Excellence Award,Merit-based,18000,Tuition waiver,All,All,Top academic performance,3.8,7.0,Academic excellence,December 20,scholarships.unsw.edu.au,Feb/July,Covers 25-100% of fees
2002,2,UNSW Sydney,UNSW Engineering Scholarship,Discipline-specific,12000,Tuition waiver,All,Engineering,Engineering degree,3.6,7.0,Strong engineering background,January 15,scholarships.unsw.edu.au,Feb/July,For engineering students only
3001,3,University of Sydney,University of Sydney International Scholarship,Merit-based,15000,Tuition waiver,All,All,Academic excellence,3.7,7.0,Outstanding achievement,December 15,scholarships.sydney.edu.au,Feb/July,Up to 50% tuition waiver
3002,3,University of Sydney,Sydney Scholars India Scholarship,Country-specific,14000,Tuition waiver + living,Postgraduate,All,Indian national + excellence,3.6,7.5,From India + merit,January 31,scholarships.sydney.edu.au,Feb,For meritorious Indian students
4001,4,Australian National University,ANU International Merit Scholarship,Merit-based,16000,Tuition waiver,All,All,Academic excellence,3.8,7.0,Outstanding grades,December 10,scholarships.anu.edu.au,Feb/July,Up to 50% tuition waiver
4002,4,Australian National University,ANU Research Scholarship,Research-based,22000,Full tuition + allowance,Postgraduate,Science|Engineering|Research,Research background,3.7,7.0,Research capability,January 30,scholarships.anu.edu.au,Feb,For PhD and research masters
5001,5,University of Queensland,UQ Excellence Scholarship,Merit-based,14000,Tuition waiver,All,All,Academic merit,3.7,6.5,Strong academic record,December 20,scholarships.uq.edu.au,Feb/July,25-50% tuition waiver
5002,5,University of Queensland,UQ Engineering Scholarship,Discipline-specific,10000,Tuition waiver,All,Engineering|Science,Engineering degree,3.5,6.5,Engineering background,January 31,scholarships.uq.edu.au,Feb/July/Nov,Supports engineering talent
6001,6,Monash University,Monash International Merit Scholarship,Merit-based,13000,Tuition waiver,All,All,Academic excellence,3.6,6.5,Strong grades,December 15,scholarships.monash.edu.au,Feb/July,25% tuition reduction
6002,6,Monash University,Monash Silver Jubilee Scholarship,Merit-based,10000,Tuition waiver,Postgraduate,Research,Masters research,3.5,7.0,Research masters/PhD,October 31,scholarships.monash.edu.au,Feb/July/Nov,For research degree holders
7001,7,University of Western Australia,UWA Scholarships for Excellence,Merit-based,12000,Tuition waiver,All,All,Academic excellence,3.6,6.5,High achievement,December 10,scholarships.uwa.edu.au,Feb/July,20-50% fee reduction
7002,7,University of Western Australia,UWA Engineering Scholarship,Discipline-specific,9000,Tuition waiver,All,Engineering,Engineering degree,3.4,6.5,Engineering background,January 31,scholarships.uwa.edu.au,Feb/July/Nov,Engineering excellence award
8001,8,University of Technology Sydney,UTS International Scholarship,Merit-based,10000,Tuition waiver,All,All,Academic merit,3.5,6.0,Strong academic record,December 20,scholarships.uts.edu.au,Feb/July,20% tuition waiver
8002,8,University of Technology Sydney,UTS India Scholarship,Country-specific,8000,Tuition reduction,All,All,Indian national,3.2,6.0,From India,January 31,scholarships.uts.edu.au,Feb/July/Nov,5-10% fee reduction
9001,9,RMIT University,RMIT International Merit Scholarship,Merit-based,9000,Tuition waiver,All,All,Academic excellence,3.4,6.5,Outstanding grades,December 15,scholarships.rmit.edu.au,Feb/July,15-20% fee reduction
9002,9,RMIT University,RMIT India Scholarship,Country-specific,7000,Tuition reduction,All,All,Indian national,3.1,6.5,From India,January 31,scholarships.rmit.edu.au,Feb/July/Nov,Modest fee reduction
10001,10,Macquarie University,Macquarie International Scholarship,Merit-based,8500,Tuition waiver,All,All,Academic merit,3.4,6.5,Strong achievement,December 20,scholarships.mq.edu.au,Feb/July,15-25% fee reduction
10002,10,Macquarie University,Macquarie Business Scholarship,Discipline-specific,8000,Tuition waiver,Postgraduate,Business|Commerce|Analytics,Business background,3.3,6.5,Professional experience,February 15,scholarships.mq.edu.au,Feb/July/Nov,For business professionals
11001,11,University of Newcastle,Newcastle International Scholarship,Merit-based,7000,Tuition waiver,All,All,Academic merit,3.3,6.0,Good academic record,December 10,scholarships.newcastle.edu.au,Feb/July,10-15% fee reduction
12001,12,University of Wollongong,UOW International Scholarship,Merit-based,6500,Tuition waiver,All,All,Academic merit,3.2,6.0,Good achievement,December 15,scholarships.uow.edu.au,Feb/July,10% fee reduction
13001,13,Deakin University,Deakin International Scholarship,Merit-based,7500,Tuition waiver,All,All,Academic merit,3.3,6.5,Strong achievement,December 20,scholarships.deakin.edu.au,Feb/July,15% fee reduction
14001,14,La Trobe University,La Trobe International Scholarship,Merit-based,6000,Tuition waiver,All,All,Academic merit,3.1,6.0,Good achievement,December 15,scholarships.latrobe.edu.au,Feb/July,10% fee reduction
15001,15,Queensland University of Technology,QUT Global Excellence Scholarship,Merit-based,8000,Tuition waiver,All,All,Academic excellence,3.4,6.5,Outstanding grades,December 20,scholarships.qut.edu.au,Feb/July,20% fee reduction
16001,16,University of Adelaide,Adelaide Global Scholarship,Merit-based,9000,Tuition waiver,All,All,Academic merit,3.5,6.5,Strong achievement,December 31,scholarships.adelaide.edu.au,Feb/July,30% fee reduction
17001,17,University of South Australia,UniSA International Scholarship,Merit-based,7000,Tuition waiver,All,All,Academic merit,3.2,6.5,Good achievement,December 20,scholarships.unisa.edu.au,Feb/July,15% fee reduction
18001,19,Curtin University,Curtin International Scholarship,Merit-based,6500,Tuition waiver,All,All,Academic merit,3.2,6.5,Good achievement,December 15,scholarships.curtin.edu.au,Feb/July,15% fee reduction
19001,20,Griffith University,Griffith International Scholarship,Merit-based,6000,Tuition waiver,All,All,Academic merit,3.1,6.0,Good achievement,December 15,scholarships.griffith.edu.au,Feb/July,10% fee reduction
20001,21,James Cook University,JCU International Scholarship,Merit-based,5500,Tuition waiver,All,All,Academic merit,3.0,6.0,Good achievement,December 15,scholarships.jcu.edu.au,Feb/July,10% fee reduction
21001,22,University of Tasmania,UTAS International Scholarship,Merit-based,5000,Tuition waiver,All,All,Academic merit,2.9,6.0,Good achievement,December 15,scholarships.utas.edu.au,Feb/July,10% fee reduction
22001,23,Charles Sturt University,CSU International Scholarship,Merit-based,4000,Tuition waiver,All,All,Academic merit,2.8,5.5,Good achievement,December 15,scholarships.csu.edu.au,Feb/July,5% fee reduction
23001,24,Federation University,Federation International Scholarship,Merit-based,3500,Tuition waiver,All,All,Academic merit,2.7,5.5,Acceptable achievement,December 15,scholarships.federation.edu.au,Feb/July,5% fee reduction
24001,25,University of Southern Queensland,USQ International Scholarship,Merit-based,4500,Tuition waiver,All,All,Academic merit,2.9,6.0,Good achievement,December 15,scholarships.usq.edu.au,Feb/July,10% fee reduction
25001,26,Victoria University,VU International Scholarship,Merit-based,4000,Tuition waiver,All,All,Academic merit,2.8,6.0,Good achievement,December 15,scholarships.vu.edu.au,Feb/July,5% fee reduction
26001,27,Swinburne University,Swinburne International Scholarship,Merit-based,5500,Tuition waiver,All,All,Academic merit,3.1,6.5,Good achievement,December 15,scholarships.swinburne.edu.au,Feb/July,15% fee reduction
27001,28,Western Sydney University,WSU International Scholarship,Merit-based,4000,Tuition waiver,All,All,Academic merit,2.8,6.0,Good achievement,December 15,scholarships.wsu.edu.au,Feb/July,5% fee reduction
28001,29,University of Divinity,Divinity Merit Scholarship,Merit-based,3000,Tuition waiver,All,Theology|Philosophy|Ministry,Academic merit,2.8,6.0,Good theological achievement,December 15,scholarships.divinity.edu.au,Feb/July,Fee reduction
29001,30,Bond University,Bond Excellence Scholarship,Merit-based,12000,Tuition waiver,All,All,Academic excellence,3.7,7.0,Outstanding grades,December 31,scholarships.bond.edu.au,Feb,25-50% fee waiver
